E_LOSS,E_RGB_RL,E_THERMAL_RL,E_SL,D_LOSS,D_SL,D_RL_REAL,D_RL_FAKE,D_GP,
[E4S54],8.43e-02,5.67e-02,7.91e-03,2.75e-01,1.70e+00,1.49e+00,1.08e-02,7.91e-03,3.71e-02,
[E4S55],9.41e-02,5.46e-02,7.15e-03,3.95e-01,1.73e+00,1.52e+00,1.08e-02,7.15e-03,3.97e-02,
[E4S56],7.18e-02,5.56e-02,8.71e-03,1.62e-01,1.68e+00,1.47e+00,1.13e-02,8.71e-03,3.81e-02,
[E4S57],1.19e-01,5.54e-02,7.57e-03,6.37e-01,1.72e+00,1.50e+00,1.01e-02,7.57e-03,3.98e-02,
[E4S58],4.28e-02,5.45e-02,7.91e-03,-1.16e-01,1.75e+00,1.56e+00,1.11e-02,7.91e-03,3.45e-02,
[E4S59],1.02e-01,5.22e-02,8.40e-03,4.95e-01,1.72e+00,1.54e+00,1.07e-02,8.40e-03,3.35e-02,
[E4S60],5.81e-02,5.62e-02,8.06e-03,1.89e-02,1.75e+00,1.55e+00,1.17e-02,8.06e-03,3.63e-02,
[E4S61],9.79e-02,5.51e-02,8.90e-03,4.28e-01,1.74e+00,1.53e+00,1.14e-02,8.90e-03,3.71e-02,
[E4S62],8.49e-02,5.59e-02,8.84e-03,2.90e-01,1.70e+00,1.49e+00,1.30e-02,8.84e-03,3.67e-02,
[E4S63],9.21e-02,5.74e-02,9.69e-03,3.47e-01,1.69e+00,1.48e+00,1.19e-02,9.69e-03,3.91e-02,
[E4S64],9.51e-02,5.39e-02,8.73e-03,4.13e-01,1.74e+00,1.52e+00,1.24e-02,8.73e-03,3.97e-02,
[E4S65],6.88e-02,5.07e-02,7.64e-03,1.81e-01,1.74e+00,1.54e+00,9.88e-03,7.64e-03,3.72e-02,
[E4S66],9.57e-02,5.14e-02,6.77e-03,4.43e-01,1.73e+00,1.52e+00,9.97e-03,6.77e-03,3.86e-02,
[E4S67],5.76e-02,5.15e-02,7.54e-03,6.09e-02,1.75e+00,1.54e+00,9.62e-03,7.54e-03,3.80e-02,
[E4S68],1.13e-01,5.42e-02,7.46e-03,5.84e-01,1.75e+00,1.55e+00,9.91e-03,7.46e-03,3.72e-02,
[E4S69],5.95e-02,5.60e-02,7.93e-03,3.43e-02,1.71e+00,1.52e+00,1.10e-02,7.93e-03,3.55e-02,
[E4S70],1.22e-01,6.45e-02,8.51e-03,5.75e-01,1.74e+00,1.54e+00,1.17e-02,8.51e-03,3.57e-02,
[E4S71],5.47e-02,5.46e-02,8.22e-03,1.22e-03,1.74e+00,1.55e+00,1.12e-02,8.22e-03,3.45e-02,
[E4S72],9.43e-02,5.22e-02,7.68e-03,4.21e-01,1.73e+00,1.53e+00,9.38e-03,7.68e-03,3.67e-02,
[E4S73],6.97e-02,5.33e-02,7.76e-03,1.64e-01,1.72e+00,1.51e+00,1.02e-02,7.76e-03,3.77e-02,
[E4S74],1.03e-01,5.16e-02,7.87e-03,5.14e-01,1.73e+00,1.51e+00,1.12e-02,7.87e-03,3.91e-02,
[E4S75],5.31e-02,5.91e-02,7.30e-03,-5.99e-02,1.73e+00,1.54e+00,9.84e-03,7.30e-03,3.48e-02,
[E4S76],9.84e-02,5.60e-02,6.55e-03,4.25e-01,1.73e+00,1.54e+00,9.96e-03,6.55e-03,3.45e-02,
[E4S77],6.14e-02,5.55e-02,7.18e-03,5.88e-02,1.68e+00,1.48e+00,1.00e-02,7.18e-03,3.56e-02,
[E4S78],1.16e-01,5.14e-02,6.94e-03,6.50e-01,1.77e+00,1.57e+00,9.99e-03,6.94e-03,3.76e-02,
[E4S79],3.79e-02,5.43e-02,7.56e-03,-1.64e-01,1.73e+00,1.55e+00,1.08e-02,7.56e-03,3.28e-02,
[E4S80],1.11e-01,5.49e-02,7.60e-03,5.61e-01,1.74e+00,1.56e+00,9.75e-03,7.60e-03,3.29e-02,
[E4S81],5.85e-02,5.06e-02,7.00e-03,7.88e-02,1.76e+00,1.57e+00,1.01e-02,7.00e-03,3.54e-02,
[E4S82],1.04e-01,5.25e-02,6.90e-03,5.16e-01,1.74e+00,1.55e+00,1.01e-02,6.90e-03,3.58e-02,
[E4S83],7.80e-02,5.62e-02,6.71e-03,2.18e-01,1.71e+00,1.52e+00,9.71e-03,6.71e-03,3.59e-02,
[E4S84],9.28e-02,5.48e-02,6.33e-03,3.80e-01,1.69e+00,1.49e+00,9.41e-03,6.33e-03,3.77e-02,
[E5S0],7.78e-02,5.19e-02,6.49e-03,2.59e-01,1.68e+00,1.48e+00,9.57e-03,6.49e-03,3.78e-02,
[E5S1],9.88e-02,5.80e-02,7.38e-03,4.08e-01,1.70e+00,1.49e+00,9.00e-03,7.38e-03,3.92e-02,
[E5S2],8.49e-02,5.99e-02,7.51e-03,2.50e-01,1.68e+00,1.48e+00,9.41e-03,7.51e-03,3.73e-02,
[E5S3],9.86e-02,5.42e-02,6.47e-03,4.44e-01,1.69e+00,1.48e+00,9.20e-03,6.47e-03,3.94e-02,
[E5S4],6.16e-02,5.69e-02,6.64e-03,4.72e-02,1.70e+00,1.50e+00,9.07e-03,6.64e-03,3.61e-02,
[E5S5],1.22e-01,5.44e-02,6.56e-03,6.78e-01,1.70e+00,1.50e+00,8.66e-03,6.56e-03,3.70e-02,
[E5S6],5.26e-02,6.00e-02,7.06e-03,-7.41e-02,1.70e+00,1.51e+00,9.63e-03,7.06e-03,3.63e-02,
[E5S7],1.37e-01,5.69e-02,6.90e-03,7.98e-01,1.75e+00,1.56e+00,9.84e-03,6.90e-03,3.50e-02,
[E5S8],4.48e-02,5.24e-02,6.81e-03,-7.63e-02,1.79e+00,1.62e+00,1.01e-02,6.81e-03,2.94e-02,
[E5S9],9.45e-02,6.22e-02,7.23e-03,3.23e-01,1.68e+00,1.51e+00,9.82e-03,7.23e-03,3.12e-02,
[E5S10],7.59e-02,6.13e-02,6.88e-03,1.46e-01,1.72e+00,1.52e+00,9.58e-03,6.88e-03,3.61e-02,
[E5S11],1.06e-01,5.74e-02,6.42e-03,4.88e-01,1.69e+00,1.49e+00,9.13e-03,6.42e-03,3.71e-02,
[E5S12],8.07e-02,5.39e-02,6.63e-03,2.68e-01,1.68e+00,1.48e+00,9.76e-03,6.63e-03,3.57e-02,
[E5S13],9.55e-02,5.57e-02,6.37e-03,3.97e-01,1.69e+00,1.48e+00,9.12e-03,6.37e-03,3.82e-02,
[E5S14],7.59e-02,5.38e-02,6.42e-03,2.21e-01,1.68e+00,1.47e+00,9.03e-03,6.42e-03,3.89e-02,
[E5S15],9.17e-02,5.31e-02,5.85e-03,3.85e-01,1.70e+00,1.50e+00,9.99e-03,5.85e-03,3.82e-02,
[E5S16],9.48e-02,5.73e-02,6.74e-03,3.75e-01,1.70e+00,1.48e+00,9.43e-03,6.74e-03,4.08e-02,
[E5S17],9.58e-02,5.57e-02,6.56e-03,4.02e-01,1.66e+00,1.46e+00,9.25e-03,6.56e-03,3.76e-02,
[E5S18],7.46e-02,5.23e-02,6.54e-03,2.23e-01,1.74e+00,1.53e+00,9.59e-03,6.54e-03,3.91e-02,
[E5S19],8.58e-02,5.31e-02,7.69e-03,3.26e-01,1.70e+00,1.49e+00,1.00e-02,7.69e-03,3.83e-02,
[E5S20],7.99e-02,5.21e-02,7.81e-03,2.77e-01,1.71e+00,1.49e+00,1.17e-02,7.81e-03,3.99e-02,
[E5S21],1.02e-01,5.41e-02,9.76e-03,4.81e-01,1.70e+00,1.47e+00,1.27e-02,9.76e-03,4.11e-02,
[E5S22],6.02e-02,5.66e-02,1.18e-02,3.69e-02,1.68e+00,1.47e+00,1.55e-02,1.18e-02,3.70e-02,
[E5S23],1.15e-01,5.95e-02,1.23e-02,5.58e-01,1.75e+00,1.54e+00,1.55e-02,1.23e-02,3.74e-02,
[E5S24],4.67e-02,5.46e-02,1.19e-02,-7.83e-02,1.72e+00,1.50e+00,1.58e-02,1.19e-02,3.66e-02,
[E5S25],1.14e-01,5.80e-02,1.07e-02,5.56e-01,1.71e+00,1.51e+00,1.42e-02,1.07e-02,3.54e-02,
[E5S26],6.48e-02,5.68e-02,1.01e-02,8.08e-02,1.72e+00,1.52e+00,1.36e-02,1.01e-02,3.60e-02,
[E5S27],9.03e-02,5.44e-02,9.69e-03,3.59e-01,1.71e+00,1.50e+00,1.25e-02,9.69e-03,3.76e-02,
[E5S28],8.27e-02,5.26e-02,9.03e-03,3.01e-01,1.72e+00,1.50e+00,1.20e-02,9.03e-03,3.93e-02,
[E5S29],9.40e-02,5.71e-02,8.39e-03,3.68e-01,1.65e+00,1.44e+00,1.05e-02,8.39e-03,3.89e-02,
[E5S30],8.06e-02,5.06e-02,7.72e-03,3.01e-01,1.73e+00,1.51e+00,1.09e-02,7.72e-03,4.01e-02,
[E5S31],9.14e-02,5.61e-02,7.06e-03,3.53e-01,1.67e+00,1.46e+00,9.19e-03,7.06e-03,3.90e-02,
[E5S32],8.54e-02,5.82e-02,7.44e-03,2.72e-01,1.72e+00,1.50e+00,1.00e-02,7.44e-03,4.09e-02,
[E5S33],1.08e-01,6.24e-02,8.65e-03,4.60e-01,1.69e+00,1.46e+00,9.89e-03,8.65e-03,4.10e-02,
[E5S34],8.20e-02,5.57e-02,8.26e-03,2.63e-01,1.70e+00,1.48e+00,1.16e-02,8.26e-03,3.89e-02,
[E5S35],1.17e-01,5.99e-02,7.92e-03,5.68e-01,1.67e+00,1.46e+00,1.07e-02,7.92e-03,3.86e-02,
[E5S36],5.12e-02,5.20e-02,7.56e-03,-7.34e-03,1.75e+00,1.55e+00,1.05e-02,7.56e-03,3.63e-02,
[E5S37],1.18e-01,6.03e-02,6.56e-03,5.80e-01,1.71e+00,1.51e+00,9.26e-03,6.56e-03,3.82e-02,
[E5S38],5.71e-02,6.06e-02,7.44e-03,-3.48e-02,1.73e+00,1.53e+00,9.39e-03,7.44e-03,3.77e-02,
[E5S39],1.31e-01,5.67e-02,7.38e-03,7.45e-01,1.78e+00,1.59e+00,1.01e-02,7.38e-03,3.54e-02,
[E5S40],6.63e-02,6.73e-02,6.92e-03,-1.00e-02,1.78e+00,1.61e+00,9.57e-03,6.92e-03,3.13e-02,
[E5S41],7.52e-02,5.10e-02,6.17e-03,2.41e-01,1.75e+00,1.57e+00,9.45e-03,6.17e-03,3.28e-02,
[E5S42],9.54e-02,5.91e-02,6.83e-03,3.62e-01,1.70e+00,1.49e+00,8.94e-03,6.83e-03,3.71e-02,
[E5S43],9.36e-02,5.49e-02,6.89e-03,3.87e-01,1.70e+00,1.49e+00,9.04e-03,6.89e-03,3.87e-02,
[E5S44],8.72e-02,5.45e-02,6.59e-03,3.28e-01,1.74e+00,1.54e+00,9.97e-03,6.59e-03,3.73e-02,
[E5S45],8.15e-02,5.01e-02,6.03e-03,3.14e-01,1.70e+00,1.50e+00,9.56e-03,6.03e-03,3.65e-02,
[E5S46],8.45e-02,5.72e-02,7.46e-03,2.73e-01,1.66e+00,1.45e+00,9.53e-03,7.46e-03,3.83e-02,
[E5S47],8.85e-02,5.29e-02,9.12e-03,3.56e-01,1.67e+00,1.45e+00,1.05e-02,9.12e-03,4.02e-02,
[E5S48],7.94e-02,5.34e-02,1.07e-02,2.60e-01,1.70e+00,1.48e+00,1.46e-02,1.07e-02,3.95e-02,
[E5S49],1.60e-01,1.20e-01,1.36e-02,3.99e-01,1.78e+00,1.56e+00,1.60e-02,1.36e-02,3.98e-02,
[E5S50],1.01e-01,6.97e-02,1.47e-02,3.16e-01,1.81e+00,1.58e+00,1.85e-02,1.47e-02,3.91e-02,
[E5S51],8.36e-02,5.78e-02,1.30e-02,2.59e-01,1.72e+00,1.54e+00,1.55e-02,1.30e-02,2.94e-02,
[E5S52],5.95e-02,5.50e-02,1.25e-02,4.57e-02,1.76e+00,1.56e+00,1.21e-02,1.25e-02,3.51e-02,
[E5S53],9.05e-02,5.17e-02,1.19e-02,3.88e-01,1.74e+00,1.54e+00,1.57e-02,1.19e-02,3.53e-02,
[E5S54],6.74e-02,5.26e-02,1.03e-02,1.48e-01,1.67e+00,1.47e+00,1.23e-02,1.03e-02,3.51e-02,
[E5S55],1.13e-01,5.83e-02,1.08e-02,5.48e-01,1.62e+00,1.40e+00,1.34e-02,1.08e-02,3.98e-02,
[E5S56],6.03e-02,5.91e-02,1.11e-02,1.19e-02,1.66e+00,1.46e+00,1.31e-02,1.11e-02,3.58e-02,
[E5S57],1.38e-01,5.84e-02,9.69e-03,7.98e-01,1.71e+00,1.51e+00,1.40e-02,9.69e-03,3.52e-02,
[E5S58],2.88e-02,5.47e-02,7.90e-03,-2.59e-01,1.80e+00,1.62e+00,1.15e-02,7.90e-03,3.12e-02,
[E5S59],1.14e-01,5.70e-02,8.66e-03,5.68e-01,1.77e+00,1.61e+00,1.19e-02,8.66e-03,2.92e-02,
[E5S60],5.37e-02,5.30e-02,9.27e-03,7.65e-03,1.76e+00,1.57e+00,1.15e-02,9.27e-03,3.41e-02,
[E5S61],9.81e-02,5.16e-02,7.79e-03,4.65e-01,1.67e+00,1.48e+00,1.04e-02,7.79e-03,3.43e-02,
[E5S62],7.34e-02,5.13e-02,7.71e-03,2.21e-01,1.73e+00,1.52e+00,1.13e-02,7.71e-03,3.79e-02,
[E5S63],9.72e-02,5.41e-02,7.43e-03,4.31e-01,1.66e+00,1.46e+00,1.20e-02,7.43e-03,3.72e-02,
[E5S64],8.11e-02,5.31e-02,8.61e-03,2.80e-01,1.69e+00,1.48e+00,1.15e-02,8.61e-03,3.90e-02,
[E5S65],9.99e-02,5.61e-02,7.50e-03,4.38e-01,1.67e+00,1.45e+00,1.10e-02,7.50e-03,4.02e-02,
[E5S66],7.73e-02,5.13e-02,7.30e-03,2.61e-01,1.72e+00,1.50e+00,9.28e-03,7.30e-03,4.01e-02,
[E5S67],8.34e-02,5.24e-02,7.03e-03,3.10e-01,1.71e+00,1.50e+00,8.94e-03,7.03e-03,3.96e-02,
[E5S68],9.10e-02,6.28e-02,7.37e-03,2.81e-01,1.68e+00,1.47e+00,8.62e-03,7.37e-03,3.96e-02,
[E5S69],9.34e-02,5.61e-02,7.14e-03,3.73e-01,1.70e+00,1.48e+00,1.00e-02,7.14e-03,4.13e-02,
[E5S70],7.72e-02,5.45e-02,7.58e-03,2.27e-01,1.69e+00,1.48e+00,9.65e-03,7.58e-03,3.95e-02,
[E5S71],1.12e-01,6.05e-02,7.58e-03,5.18e-01,1.67e+00,1.45e+00,9.41e-03,7.58e-03,4.06e-02,
[E5S72],7.59e-02,5.62e-02,7.99e-03,1.97e-01,1.71e+00,1.51e+00,1.07e-02,7.99e-03,3.75e-02,
[E5S73],9.97e-02,5.33e-02,6.88e-03,4.64e-01,1.70e+00,1.47e+00,9.11e-03,6.88e-03,4.18e-02,
[E5S74],7.47e-02,5.58e-02,7.11e-03,1.88e-01,1.71e+00,1.49e+00,1.01e-02,7.11e-03,4.03e-02,
[E5S75],9.91e-02,5.17e-02,7.07e-03,4.74e-01,1.68e+00,1.46e+00,8.84e-03,7.07e-03,4.10e-02,
[E5S76],6.11e-02,5.64e-02,7.06e-03,4.63e-02,1.69e+00,1.47e+00,1.03e-02,7.06e-03,3.89e-02,
[E5S77],1.31e-01,5.32e-02,6.86e-03,7.76e-01,1.75e+00,1.54e+00,9.93e-03,6.86e-03,3.95e-02,
[E5S78],1.36e-02,5.14e-02,7.50e-03,-3.78e-01,1.84e+00,1.65e+00,1.08e-02,7.50e-03,3.40e-02,
[E5S79],1.34e-01,5.34e-02,1.04e-02,8.02e-01,1.85e+00,1.71e+00,1.49e-02,1.04e-02,2.38e-02,
[E5S80],5.98e-02,5.18e-02,8.03e-03,8.06e-02,1.80e+00,1.64e+00,1.14e-02,8.03e-03,2.75e-02,
[E5S81],6.97e-02,5.80e-02,7.40e-03,1.18e-01,1.70e+00,1.52e+00,1.01e-02,7.40e-03,3.29e-02,
[E5S82],8.94e-02,5.29e-02,6.69e-03,3.66e-01,1.71e+00,1.51e+00,9.80e-03,6.69e-03,3.73e-02,
[E5S83],6.18e-02,5.24e-02,6.72e-03,9.40e-02,1.73e+00,1.53e+00,8.63e-03,6.72e-03,3.64e-02,
[E5S84],9.49e-02,5.36e-02,6.50e-03,4.13e-01,1.68e+00,1.48e+00,8.93e-03,6.50e-03,3.74e-02,
[E6S0],8.90e-02,5.26e-02,6.97e-03,3.64e-01,1.69e+00,1.48e+00,9.40e-03,6.97e-03,3.90e-02,
[E6S1],8.53e-02,5.50e-02,7.49e-03,3.02e-01,1.70e+00,1.49e+00,9.94e-03,7.49e-03,3.91e-02,
[E6S2],8.53e-02,5.32e-02,6.54e-03,3.20e-01,1.70e+00,1.49e+00,9.53e-03,6.54e-03,3.96e-02,
[E6S3],9.36e-02,6.09e-02,7.40e-03,3.27e-01,1.67e+00,1.46e+00,9.92e-03,7.40e-03,3.85e-02,
[E6S4],8.27e-02,6.38e-02,6.96e-03,1.88e-01,1.77e+00,1.56e+00,9.08e-03,6.96e-03,4.06e-02,
[E6S5],1.29e-01,7.65e-02,7.91e-03,5.27e-01,1.69e+00,1.48e+00,9.20e-03,7.91e-03,3.73e-02,
[E6S6],6.82e-02,6.91e-02,8.09e-03,-9.14e-03,1.76e+00,1.56e+00,1.01e-02,8.09e-03,3.66e-02,
[E6S7],1.24e-01,6.40e-02,7.85e-03,5.98e-01,1.70e+00,1.50e+00,1.08e-02,7.85e-03,3.60e-02,
[E6S8],5.38e-02,6.34e-02,8.37e-03,-9.60e-02,1.74e+00,1.54e+00,9.50e-03,8.37e-03,3.56e-02,
[E6S9],1.30e-01,5.71e-02,8.98e-03,7.24e-01,1.74e+00,1.56e+00,1.31e-02,8.98e-03,3.24e-02,
[E6S10],4.84e-02,5.49e-02,9.81e-03,-6.57e-02,1.74e+00,1.56e+00,1.18e-02,9.81e-03,3.22e-02,
[E6S11],1.11e-01,5.60e-02,8.44e-03,5.53e-01,1.67e+00,1.49e+00,1.19e-02,8.44e-03,3.24e-02,
[E6S12],5.99e-02,5.21e-02,9.16e-03,7.80e-02,1.74e+00,1.54e+00,1.18e-02,9.16e-03,3.57e-02,
[E6S13],1.02e-01,5.56e-02,1.12e-02,4.62e-01,1.69e+00,1.48e+00,1.47e-02,1.12e-02,3.62e-02,
[E6S14],6.62e-02,5.63e-02,1.14e-02,9.88e-02,1.70e+00,1.50e+00,1.31e-02,1.14e-02,3.59e-02,
[E6S15],1.15e-01,5.90e-02,1.13e-02,5.65e-01,1.69e+00,1.47e+00,1.45e-02,1.13e-02,3.85e-02,
[E6S16],6.21e-02,6.30e-02,8.88e-03,-9.61e-03,1.71e+00,1.53e+00,1.01e-02,8.88e-03,3.32e-02,
[E6S17],1.03e-01,5.60e-02,7.62e-03,4.66e-01,1.65e+00,1.45e+00,9.77e-03,7.62e-03,3.61e-02,
[E6S18],9.14e-02,5.49e-02,7.48e-03,3.65e-01,1.65e+00,1.45e+00,9.97e-03,7.48e-03,3.76e-02,
[E6S19],1.02e-01,5.36e-02,7.26e-03,4.85e-01,1.67e+00,1.46e+00,1.03e-02,7.26e-03,3.79e-02,
[E6S20],6.46e-02,5.15e-02,7.40e-03,1.31e-01,1.73e+00,1.52e+00,9.44e-03,7.40e-03,3.87e-02,
[E6S21],1.08e-01,5.64e-02,7.40e-03,5.16e-01,1.72e+00,1.50e+00,1.05e-02,7.40e-03,3.95e-02,
[E6S22],6.95e-02,5.94e-02,8.29e-03,1.00e-01,1.68e+00,1.47e+00,1.11e-02,8.29e-03,3.79e-02,
[E6S23],1.19e-01,6.34e-02,6.82e-03,5.58e-01,1.68e+00,1.48e+00,9.47e-03,6.82e-03,3.81e-02,
[E6S24],8.75e-02,6.88e-02,8.68e-03,1.87e-01,1.76e+00,1.55e+00,9.54e-03,8.68e-03,3.82e-02,
[E6S25],1.07e-01,6.10e-02,8.34e-03,4.61e-01,1.68e+00,1.46e+00,1.00e-02,8.34e-03,3.89e-02,
[E6S26],9.51e-02,7.21e-02,1.04e-02,2.30e-01,1.64e+00,1.43e+00,1.24e-02,1.04e-02,3.80e-02,
[E6S27],1.18e-01,7.04e-02,9.31e-03,4.75e-01,1.68e+00,1.46e+00,1.21e-02,9.31e-03,3.91e-02,
[E6S28],1.10e-01,7.47e-02,1.03e-02,3.52e-01,1.64e+00,1.43e+00,1.21e-02,1.03e-02,3.89e-02,
[E6S29],1.02e-01,5.87e-02,7.61e-03,4.29e-01,1.69e+00,1.49e+00,1.04e-02,7.61e-03,3.73e-02,
[E6S30],8.25e-02,5.96e-02,7.86e-03,2.29e-01,1.66e+00,1.45e+00,9.98e-03,7.86e-03,3.84e-02,
[E6S31],1.28e-01,6.64e-02,7.86e-03,6.17e-01,1.68e+00,1.47e+00,1.02e-02,7.86e-03,4.00e-02,
[E6S32],5.59e-02,6.76e-02,7.74e-03,-1.17e-01,1.74e+00,1.55e+00,9.24e-03,7.74e-03,3.53e-02,
[E6S33],1.59e-01,6.91e-02,8.66e-03,9.01e-01,1.85e+00,1.68e+00,1.17e-02,8.66e-03,3.09e-02,
[E6S34],6.68e-02,5.96e-02,8.72e-03,7.21e-02,1.75e+00,1.60e+00,1.22e-02,8.72e-03,2.70e-02,
[E6S35],7.45e-02,5.55e-02,7.33e-03,1.89e-01,1.73e+00,1.55e+00,1.05e-02,7.33e-03,3.24e-02,
[E6S36],9.12e-02,5.63e-02,7.09e-03,3.48e-01,1.65e+00,1.46e+00,1.02e-02,7.09e-03,3.51e-02,
[E6S37],7.65e-02,5.21e-02,6.27e-03,2.44e-01,1.69e+00,1.49e+00,9.35e-03,6.27e-03,3.63e-02,
[E6S38],9.39e-02,5.36e-02,7.13e-03,4.03e-01,1.69e+00,1.48e+00,9.64e-03,7.13e-03,3.78e-02,
[E6S39],8.45e-02,6.37e-02,6.99e-03,2.07e-01,1.65e+00,1.44e+00,9.41e-03,6.99e-03,3.80e-02,
[E6S40],1.06e-01,5.88e-02,7.87e-03,4.67e-01,1.67e+00,1.45e+00,1.05e-02,7.87e-03,3.92e-02,
[E6S41],7.02e-02,5.71e-02,8.14e-03,1.31e-01,1.69e+00,1.48e+00,1.16e-02,8.14e-03,3.81e-02,
[E6S42],1.12e-01,5.42e-02,7.19e-03,5.83e-01,1.66e+00,1.46e+00,9.76e-03,7.19e-03,3.78e-02,
[E6S43],6.41e-02,5.36e-02,7.39e-03,1.04e-01,1.69e+00,1.49e+00,1.00e-02,7.39e-03,3.81e-02,
[E6S44],1.28e-01,5.44e-02,7.75e-03,7.39e-01,1.73e+00,1.52e+00,1.00e-02,7.75e-03,3.91e-02,
[E6S45],3.95e-02,5.22e-02,1.09e-02,-1.27e-01,1.77e+00,1.59e+00,1.37e-02,1.09e-02,3.17e-02,
[E6S46],8.52e-02,5.54e-02,8.62e-03,2.98e-01,1.69e+00,1.49e+00,1.18e-02,8.62e-03,3.48e-02,
[E6S47],9.92e-02,5.97e-02,8.41e-03,3.95e-01,1.62e+00,1.41e+00,1.12e-02,8.41e-03,3.91e-02,
[E6S48],8.47e-02,5.35e-02,8.01e-03,3.12e-01,1.72e+00,1.51e+00,1.12e-02,8.01e-03,3.85e-02,
[E6S49],7.27e-02,5.53e-02,7.95e-03,1.74e-01,1.67e+00,1.46e+00,1.16e-02,7.95e-03,3.82e-02,
[E6S50],1.15e-01,5.48e-02,7.55e-03,5.99e-01,1.72e+00,1.50e+00,1.02e-02,7.55e-03,4.00e-02,
[E6S51],4.21e-02,5.50e-02,6.96e-03,-1.28e-01,1.74e+00,1.53e+00,1.02e-02,6.96e-03,3.89e-02,
[E6S52],1.45e-01,5.77e-02,8.04e-03,8.70e-01,1.80e+00,1.62e+00,1.07e-02,8.04e-03,3.22e-02,
[E6S53],5.17e-02,5.30e-02,8.69e-03,-1.32e-02,1.77e+00,1.62e+00,1.19e-02,8.69e-03,2.64e-02,
[E6S54],5.33e-02,5.26e-02,7.68e-03,6.77e-03,1.72e+00,1.54e+00,1.01e-02,7.68e-03,3.28e-02,
[E6S55],1.01e-01,5.60e-02,8.15e-03,4.50e-01,1.59e+00,1.40e+00,9.96e-03,8.15e-03,3.44e-02,
[E6S56],7.16e-02,5.00e-02,7.60e-03,2.15e-01,1.69e+00,1.49e+00,1.02e-02,7.60e-03,3.62e-02,
[E6S57],9.53e-02,5.57e-02,7.81e-03,3.97e-01,1.64e+00,1.43e+00,1.03e-02,7.81e-03,3.86e-02,
[E6S58],8.11e-02,5.48e-02,7.69e-03,2.63e-01,1.72e+00,1.52e+00,1.06e-02,7.69e-03,3.78e-02,
[E6S59],9.75e-02,5.70e-02,7.84e-03,4.05e-01,1.68e+00,1.46e+00,1.23e-02,7.84e-03,3.87e-02,
[E6S60],7.88e-02,5.82e-02,8.59e-03,2.06e-01,1.70e+00,1.50e+00,1.03e-02,8.59e-03,3.63e-02,
[E6S61],9.11e-02,5.38e-02,9.09e-03,3.73e-01,1.76e+00,1.54e+00,1.23e-02,9.09e-03,3.89e-02,
[E6S62],8.57e-02,5.22e-02,8.01e-03,3.36e-01,1.67e+00,1.47e+00,1.10e-02,8.01e-03,3.67e-02,
[E6S63],9.00e-02,5.43e-02,7.54e-03,3.57e-01,1.67e+00,1.45e+00,1.02e-02,7.54e-03,4.11e-02,
[E6S64],8.36e-02,5.48e-02,7.06e-03,2.88e-01,1.70e+00,1.50e+00,1.02e-02,7.06e-03,3.74e-02,
[E6S65],1.11e-01,6.58e-02,7.15e-03,4.52e-01,1.64e+00,1.42e+00,1.02e-02,7.15e-03,3.98e-02,
[E6S66],7.18e-02,6.11e-02,7.50e-03,1.07e-01,1.67e+00,1.47e+00,8.95e-03,7.50e-03,3.67e-02,
[E6S67],1.10e-01,5.76e-02,7.36e-03,5.24e-01,1.65e+00,1.43e+00,9.19e-03,7.36e-03,4.03e-02,
[E6S68],6.07e-02,5.67e-02,7.44e-03,4.03e-02,1.67e+00,1.47e+00,1.07e-02,7.44e-03,3.64e-02,
[E6S69],1.16e-01,5.61e-02,7.44e-03,5.97e-01,1.70e+00,1.49e+00,1.10e-02,7.44e-03,3.89e-02,
[E6S70],5.08e-02,5.13e-02,7.02e-03,-5.35e-03,1.78e+00,1.57e+00,1.03e-02,7.02e-03,3.69e-02,
[E6S71],8.80e-02,5.35e-02,6.67e-03,3.45e-01,1.71e+00,1.51e+00,9.70e-03,6.67e-03,3.76e-02,
[E6S72],7.78e-02,5.21e-02,6.71e-03,2.57e-01,1.69e+00,1.48e+00,9.10e-03,6.71e-03,3.83e-02,
[E6S73],1.02e-01,5.51e-02,6.51e-03,4.72e-01,1.67e+00,1.46e+00,8.97e-03,6.51e-03,4.00e-02,
[E6S74],7.00e-02,6.02e-02,6.95e-03,9.81e-02,1.69e+00,1.48e+00,9.90e-03,6.95e-03,3.87e-02,
[E6S75],1.18e-01,5.34e-02,6.72e-03,6.44e-01,1.76e+00,1.55e+00,1.03e-02,6.72e-03,3.88e-02,
[E6S76],4.25e-02,5.81e-02,8.33e-03,-1.56e-01,1.77e+00,1.59e+00,1.12e-02,8.33e-03,3.16e-02,
[E6S77],9.69e-02,5.84e-02,8.36e-03,3.84e-01,1.71e+00,1.53e+00,1.15e-02,8.36e-03,3.19e-02,
[E6S78],5.85e-02,5.11e-02,7.07e-03,7.39e-02,1.70e+00,1.51e+00,1.02e-02,7.07e-03,3.55e-02,
[E6S79],1.08e-01,5.33e-02,7.37e-03,5.51e-01,1.70e+00,1.51e+00,1.00e-02,7.37e-03,3.56e-02,
[E6S80],7.67e-02,5.37e-02,6.88e-03,2.30e-01,1.67e+00,1.48e+00,9.84e-03,6.88e-03,3.60e-02,
[E6S81],1.07e-01,6.58e-02,7.34e-03,4.15e-01,1.68e+00,1.46e+00,9.92e-03,7.34e-03,3.95e-02,
