E_LOSS,E_RGB_RL,E_THERMAL_RL,E_SL,D_LOSS,D_SL,D_RL_REAL,D_RL_FAKE,D_GP,
[E1S41],1.47e-01,1.18e-01,1.11e-02,2.83e-01,1.47e+00,1.32e+00,1.11e-02,1.11e-02,2.53e-02,
[E1S42],1.90e-01,1.07e-01,1.12e-02,8.26e-01,1.44e+00,1.28e+00,1.20e-02,1.12e-02,2.79e-02,
[E1S43],1.41e-01,1.21e-01,1.02e-02,2.04e-01,1.45e+00,1.30e+00,1.11e-02,1.02e-02,2.69e-02,
[E1S44],1.92e-01,1.33e-01,9.81e-03,5.91e-01,1.61e+00,1.45e+00,1.04e-02,9.81e-03,2.78e-02,
[E1S45],1.69e-01,1.36e-01,1.04e-02,3.22e-01,1.51e+00,1.36e+00,9.59e-03,1.04e-02,2.60e-02,
[E1S46],1.71e-01,1.14e-01,9.22e-03,5.62e-01,1.39e+00,1.24e+00,9.52e-03,9.22e-03,2.68e-02,
[E1S47],1.55e-01,1.25e-01,8.67e-03,3.04e-01,1.48e+00,1.33e+00,9.33e-03,8.67e-03,2.75e-02,
[E1S48],2.10e-01,1.37e-01,8.68e-03,7.26e-01,1.37e+00,1.22e+00,9.35e-03,8.68e-03,2.63e-02,
[E1S49],1.71e-01,1.45e-01,9.52e-03,2.67e-01,1.38e+00,1.22e+00,1.08e-02,9.52e-03,2.72e-02,
[E1S50],2.04e-01,1.22e-01,9.48e-03,8.11e-01,1.42e+00,1.27e+00,9.55e-03,9.48e-03,2.71e-02,
[E1S51],1.39e-01,1.20e-01,1.06e-02,1.95e-01,1.44e+00,1.29e+00,9.99e-03,1.06e-02,2.50e-02,
[E1S52],1.89e-01,1.26e-01,8.76e-03,6.29e-01,1.54e+00,1.39e+00,9.18e-03,8.76e-03,2.70e-02,
[E1S53],1.55e-01,1.33e-01,8.87e-03,2.21e-01,1.51e+00,1.37e+00,9.34e-03,8.87e-03,2.51e-02,
[E1S54],1.56e-01,1.07e-01,7.60e-03,4.95e-01,1.49e+00,1.34e+00,8.26e-03,7.60e-03,2.69e-02,
[E1S55],1.51e-01,1.01e-01,7.87e-03,5.05e-01,1.54e+00,1.38e+00,1.03e-02,7.87e-03,2.77e-02,
[E1S56],1.63e-01,1.29e-01,8.40e-03,3.30e-01,1.47e+00,1.31e+00,8.88e-03,8.40e-03,2.81e-02,
[E1S57],1.99e-01,1.16e-01,8.03e-03,8.23e-01,1.47e+00,1.30e+00,9.09e-03,8.03e-03,3.02e-02,
[E1S58],1.38e-01,1.12e-01,9.71e-03,2.56e-01,1.44e+00,1.29e+00,1.03e-02,9.71e-03,2.55e-02,
[E1S59],1.85e-01,1.03e-01,9.09e-03,8.26e-01,1.55e+00,1.40e+00,1.00e-02,9.09e-03,2.63e-02,
[E1S60],1.34e-01,1.12e-01,1.03e-02,2.23e-01,1.50e+00,1.34e+00,1.02e-02,1.03e-02,2.73e-02,
[E1S61],2.00e-01,1.21e-01,1.16e-02,7.81e-01,1.58e+00,1.43e+00,1.27e-02,1.16e-02,2.53e-02,
[E1S62],1.34e-01,1.13e-01,1.23e-02,2.10e-01,1.52e+00,1.37e+00,1.29e-02,1.23e-02,2.56e-02,
[E1S63],1.62e-01,1.00e-01,1.23e-02,6.23e-01,1.57e+00,1.41e+00,1.63e-02,1.23e-02,2.57e-02,
[E1S64],1.60e-01,1.34e-01,1.16e-02,2.58e-01,1.55e+00,1.39e+00,1.33e-02,1.16e-02,2.75e-02,
[E1S65],1.77e-01,1.01e-01,1.15e-02,7.64e-01,1.53e+00,1.38e+00,1.20e-02,1.15e-02,2.64e-02,
[E1S66],1.41e-01,1.17e-01,9.93e-03,2.38e-01,1.43e+00,1.28e+00,1.13e-02,9.93e-03,2.70e-02,
[E1S67],1.85e-01,1.05e-01,8.52e-03,8.00e-01,1.53e+00,1.37e+00,1.08e-02,8.52e-03,2.78e-02,
[E1S68],1.10e-01,9.40e-02,9.04e-03,1.56e-01,1.55e+00,1.40e+00,1.08e-02,9.04e-03,2.61e-02,
[E1S69],1.74e-01,1.04e-01,9.01e-03,7.00e-01,1.53e+00,1.38e+00,1.16e-02,9.01e-03,2.47e-02,
[E1S70],1.55e-01,1.26e-01,8.49e-03,2.94e-01,1.49e+00,1.33e+00,9.34e-03,8.49e-03,2.85e-02,
[E1S71],1.90e-01,1.23e-01,8.40e-03,6.69e-01,1.55e+00,1.39e+00,9.58e-03,8.40e-03,2.94e-02,
[E1S72],1.28e-01,1.19e-01,8.20e-03,8.31e-02,1.72e+00,1.58e+00,9.43e-03,8.20e-03,2.52e-02,
[E1S73],1.91e-01,1.35e-01,9.26e-03,5.58e-01,1.53e+00,1.38e+00,9.42e-03,9.26e-03,2.58e-02,
[E1S74],1.44e-01,1.11e-01,8.69e-03,3.22e-01,1.62e+00,1.45e+00,9.65e-03,8.69e-03,2.92e-02,
[E1S75],1.61e-01,1.18e-01,9.73e-03,4.24e-01,1.69e+00,1.53e+00,9.98e-03,9.73e-03,2.77e-02,
[E1S76],1.48e-01,1.08e-01,1.11e-02,4.01e-01,1.57e+00,1.41e+00,1.23e-02,1.11e-02,2.74e-02,
[E1S77],1.76e-01,1.38e-01,1.26e-02,3.85e-01,1.57e+00,1.40e+00,1.28e-02,1.26e-02,3.01e-02,
[E1S78],1.58e-01,1.28e-01,1.17e-02,3.02e-01,1.65e+00,1.48e+00,1.40e-02,1.17e-02,2.89e-02,
[E1S79],1.89e-01,1.31e-01,1.03e-02,5.77e-01,1.65e+00,1.49e+00,1.24e-02,1.03e-02,2.81e-02,
[E1S80],1.49e-01,1.36e-01,1.11e-02,1.28e-01,1.60e+00,1.44e+00,1.20e-02,1.11e-02,2.63e-02,
[E1S81],2.17e-01,1.47e-01,1.08e-02,7.03e-01,1.42e+00,1.25e+00,1.14e-02,1.08e-02,2.97e-02,
[E1S82],1.21e-01,1.26e-01,8.88e-03,-5.64e-02,1.63e+00,1.48e+00,1.05e-02,8.88e-03,2.80e-02,
[E1S83],1.86e-01,1.15e-01,8.65e-03,7.06e-01,1.75e+00,1.60e+00,1.17e-02,8.65e-03,2.56e-02,
[E1S84],9.84e-02,9.60e-02,8.83e-03,2.44e-02,1.73e+00,1.59e+00,1.03e-02,8.83e-03,2.42e-02,
[E2S0],1.28e-01,9.56e-02,8.83e-03,3.23e-01,1.53e+00,1.38e+00,1.02e-02,8.83e-03,2.53e-02,
[E2S1],1.20e-01,8.90e-02,8.81e-03,3.07e-01,1.60e+00,1.43e+00,9.53e-03,8.81e-03,2.98e-02,
[E2S2],1.43e-01,9.82e-02,8.44e-03,4.46e-01,1.61e+00,1.45e+00,9.97e-03,8.44e-03,2.88e-02,
[E2S3],1.11e-01,8.61e-02,7.79e-03,2.45e-01,1.67e+00,1.50e+00,9.41e-03,7.79e-03,3.08e-02,
[E2S4],1.43e-01,9.96e-02,9.00e-03,4.35e-01,1.69e+00,1.52e+00,1.02e-02,9.00e-03,2.96e-02,
[E2S5],1.34e-01,1.04e-01,8.93e-03,3.01e-01,1.62e+00,1.45e+00,1.01e-02,8.93e-03,2.89e-02,
[E2S6],1.47e-01,9.59e-02,8.70e-03,5.07e-01,1.66e+00,1.47e+00,1.11e-02,8.70e-03,3.22e-02,
[E2S7],1.28e-01,1.16e-01,9.89e-03,1.25e-01,1.69e+00,1.53e+00,9.25e-03,9.89e-03,2.93e-02,
[E2S8],1.37e-01,8.32e-02,8.28e-03,5.41e-01,1.65e+00,1.48e+00,9.46e-03,8.28e-03,3.04e-02,
[E2S9],1.14e-01,8.83e-02,8.62e-03,2.53e-01,1.64e+00,1.47e+00,1.02e-02,8.62e-03,2.98e-02,
[E2S10],1.35e-01,9.45e-02,8.87e-03,4.05e-01,1.66e+00,1.48e+00,1.03e-02,8.87e-03,3.25e-02,
[E2S11],1.42e-01,9.07e-02,8.68e-03,5.11e-01,1.65e+00,1.48e+00,9.52e-03,8.68e-03,3.15e-02,
[E2S12],1.18e-01,9.01e-02,8.30e-03,2.77e-01,1.70e+00,1.53e+00,1.08e-02,8.30e-03,3.00e-02,
[E2S13],1.37e-01,9.38e-02,8.67e-03,4.32e-01,1.63e+00,1.46e+00,8.90e-03,8.67e-03,3.18e-02,
[E2S14],1.47e-01,1.01e-01,8.09e-03,4.60e-01,1.59e+00,1.41e+00,9.95e-03,8.09e-03,3.23e-02,
[E2S15],1.14e-01,8.37e-02,8.69e-03,3.08e-01,1.65e+00,1.47e+00,9.86e-03,8.69e-03,3.25e-02,
[E2S16],1.24e-01,1.01e-01,8.57e-03,2.29e-01,1.61e+00,1.42e+00,1.04e-02,8.57e-03,3.41e-02,
[E2S17],2.07e-01,1.41e-01,9.16e-03,6.57e-01,1.66e+00,1.47e+00,9.31e-03,9.16e-03,3.40e-02,
[E2S18],1.23e-01,1.14e-01,9.30e-03,8.92e-02,1.68e+00,1.53e+00,1.09e-02,9.30e-03,2.67e-02,
[E2S19],1.33e-01,9.20e-02,8.14e-03,4.15e-01,1.64e+00,1.47e+00,1.04e-02,8.14e-03,2.99e-02,
[E2S20],1.43e-01,1.03e-01,8.66e-03,3.96e-01,1.60e+00,1.42e+00,9.22e-03,8.66e-03,3.32e-02,
[E2S21],1.42e-01,9.38e-02,8.56e-03,4.83e-01,1.63e+00,1.45e+00,9.76e-03,8.56e-03,3.31e-02,
[E2S22],1.06e-01,9.06e-02,7.92e-03,1.50e-01,1.77e+00,1.60e+00,9.94e-03,7.92e-03,3.12e-02,
[E2S23],1.44e-01,9.05e-02,8.93e-03,5.37e-01,1.73e+00,1.54e+00,1.03e-02,8.93e-03,3.27e-02,
[E2S24],9.37e-02,7.80e-02,7.52e-03,1.56e-01,1.72e+00,1.55e+00,1.06e-02,7.52e-03,3.04e-02,
[E2S25],1.12e-01,7.85e-02,7.91e-03,3.38e-01,1.66e+00,1.48e+00,8.74e-03,7.91e-03,3.26e-02,
